category,metric,value,notes,source
Seasonality,Shoulder season,Late Apr-Mid Jun & Sep-Oct,Fewer crowds pleasant weather,Travel Guides
Tour Operators,TUI market position,#1,Largest German operator,Travel Industry Data
Tour Operators,TUI Dubrovnik flights,7 cities,Berlin Hamburg Frankfurt Munich Stuttgart Cologne Düsseldorf,TUI Germany
Tour Operators,TUI monthly searches Dubrovnik,720,Average search volume,TUI Data 2025
Tour Operators,DER Touristik,Active,REWE Group operator,Market Research
Tour Operators,Alltours ranking,#5,5th largest German operator,Industry Rankings
Tour Operators,FTI Touristik status,INSOLVENT,Filed June 2024 - ceased operations,Industry News 2024
Tour Operators,ADAC membership,21000000,21M+ members,ADAC Data
Language & Culture,Prefer German language,High,Even if speak English search in German,SEO Research
Language & Culture,Formal address (Sie),Required,For all business communications,Cultural Norms
Language & Culture,Service expectations,High,Professional attentive transparent,Customer Research
Language & Culture,Value transparency,Critical,Clear pricing no hidden fees,Market Research
Language & Culture,Quality over speed,Yes,Dining is social activity not rushed,Cultural Norms
Advertising Costs,Google Ads CPC Germany,€0.50-2.00,Cost per click range,Google Ads Benchmarks
Advertising Costs,Google Ads CTR target,3-5%+,Click-through rate,Industry Standards
Advertising Costs,Facebook/Instagram CPM,€5-15,Cost per 1000 impressions,Social Ads Benchmarks
Advertising Costs,Facebook/Instagram CPC,€0.30-1.50,Cost per click,Social Ads Benchmarks
Advertising Costs,Influencer micro rate,€200-1000,Per collaboration (10-100K followers),Influencer Market 2024
Advertising Costs,Influencer macro rate,€2000-10000+,Per collaboration (100K+ followers),Influencer Market 2024
Publications,ADAC Reisemagazin circulation,91000,Copies per issue,ADAC Media Data
Publications,ADAC Reisemagazin ad revenue,€2300000,2023 annual,Magazine Rankings
Publications,ADAC Reisemagazin reader age,55+,Primary demographic,Media Kit
Publications,Merian founding year,1948,Classic German travel magazine,Magazine History
Publications,ITB Berlin exhibitors,5800,From 170+ countries,ITB 2025 Data
Publications,ITB Berlin dates 2025,Mar 4-6,Annual early March,ITB Official
Publications,ITB Berlin 2026,Mar 3-5,Next edition,ITB Schedule
Competitive Insights,Croatia Euro adoption,Jan 2023,Price perception changed dramatically,Economic Data
Competitive Insights,Price increase perception,70%,2015-2024 increase,Market Analysis
Competitive Insights,Menu similarity complaint,90%,Same menu at most restaurants,Tourist Reviews
Competitive Insights,Competitor countries,Greece Turkey Spain Italy,Better perceived value or established reputation,Market Analysis
Competitive Insights,Croatia award ITB 2025,Best European Country 2025,118261 votes from 139 countries,European Best Destinations
Investment,Essential budget Year 1,€28800,Must-do items,Report Recommendations
Investment,Recommended budget Year 1,€15200,High ROI items,Report Recommendations
Investment,Strategic budget Year 1,€14000,Long-term items,Report Recommendations
Investment,Total Year 1 investment,€58000,Complete program,Report Recommendations
Investment,Expected Year 1 German guests,1000-2000,Target range,Report Projections
Investment,Expected Year 1 revenue,€60000-200000,From German guests at €60-100/person,Report Projections
Investment,Expected Year 1 ROI,1-3x,First year return on investment,Report Projections
Quick Wins,Google Business Profile optimization,€0-500,High impact free/low cost,Immediate Action
Quick Wins,German menu translation,€300-800,Essential low cost,Immediate Action
Quick Wins,Review responses,€0,Free builds trust,Immediate Action
Quick Wins,Hotel partnerships,€200,Materials only commission-based,Immediate Action
Quick Wins,Website German version,€1000-3000,One-time setup,Immediate Action
