username,location,country,rating,rating_value,rating_service,rating_food,rating_atmosphere,review,title,date
Maureen C,null,null,5,null,null,null,null,"I recently celebrated my 60th birthday in Dubrovnik Croatia with my closest friends and had a very special dinner at Restaurant Nautika. The atmosphere is elegant and the dining experience and the view is not to be missed. The food is masterfully created and plated, delicious and well worth the visit. Our waiter ""Henry"" was delightful and very professional with his white glove service. The entire restaurant staff made my birthday celebration very memorable.",,Sep 2025
Marie P,"Upton, United Kingdom",United Kingdom,5,null,null,null,null,Antoni was great. Made us feel comfortable and we had a laugh while providing immaculate service at the same time. Very knowledgeable,,Sep 2025
Emma W,null,null,5,null,null,null,null,Beautiful venue with top quality menu & service. Absolutely worth the price for the food and the experience. Our waiter (Antonio) was genuinely friendly and all staff were exceptionally attentive.,,Sep 2025
Angus C,null,null,5,4.0,5.0,5.0,5.0,"The food was delicious and the setting was very romantic, Ante our waiter was so helpful explaining the menu and the different dishes as they came out. All in all a great experience and definitely worth getting a seat with a good view!",,Sep 2025
luv2snowski,Michigan,USA,5,null,null,null,null,"What an incredible restaurant. The view stunning, the wait staff beyond attentive, excellent and fun. The drink presentation over the top and the dinner incredible!",,Sep 2025
Destination327789,null,null,5,null,null,null,null,Excellent grilled fish and veggies cooked just right - nice amount of herbs and salt and fresh lemon was all it needed. Nice atmosphere and bottle of rose finished it off!,,Sep 2025
IrishFan-80,"Lancaster, Pennsylvania",USA,4,null,null,null,null,"Usually we have unforgettable dinners st Michelin restaurants But not this time.
Only a few items were memorable the rest were not worth half the price.
Yes the view is amazing but not worth those prices.
Suggest you book Gradska Arsenal instead for better service, food and cocktails.",,Sep 2025
Martin C,"Ontario, Canada",Canada,5,null,null,null,null,"beautiful experience! this was a real treat, the service is second to none. the staff is impressively professional, friendly and funny which was nice to see in such a high-end
environment. the sommelier even took us in to view a few of the fine wines that they have in house as my son in law is a bit of a connoisseur! the food of course was nothing less than a Michelin. Thanks!",,Sep 2025
Greg R,null,null,5,5.0,5.0,5.0,5.0,"Food service ambiance all 10/10 

Very unique and just about the best way we could have ended our honeymoon 

Our server was cordial friendly and great",,Sep 2025
Pymander,Philly,Philly,5,null,null,null,null,"Absolutely beautiful. Absolutely delicious. Absolutely great service (thank you Antonio).
Pricey but worth it. Splurge - you’re worth it!",,Sep 2025
Shakira K,null,null,5,null,null,null,null,"A wonderful experience. The staff were lovely, incredibly knowledgeable about the food and drink, and very welcoming. Yes it’s expensive, but the food is exquisite and worth every penny.",,Sep 2025
Gary F,"Croydon, United Kingdom",United Kingdom,5,null,null,null,null,"We booked Nautica as a treat towards the end of the holiday. I had read the reviews and knew it was not going to be a cheap evening out but all I can say is wow. It was a perfect evening, overlooking the sea and the walls of the City in a great atmosphere and with just the best food.
From the moment you arrive they make you feel welcome and special, you walk in through the entrance and they had a piano player and you are taken to your seat and the service is exceptional. The waiters have white gloves and they really look after you.
I can’t fault anything, the food and the flavours were unbelievable and the cocktails were some of the best we’ve had anywhere. I had scallops for starter and lamb for main and everything was perfect, my wife had the fish and it was cooked to perfection.
A great selection of wines and drinks and the deserts were also amazing.
If you are looking for a restaurant for a special treat then give this place a try, be prepared it’s not cheap but you are paying for an amazing experience and you get it and as a treat to end our week in Dubrovnik it was worth it.",,Aug 2025
Christopher L,"Hewitt, New Jersey",USA,5,null,null,null,null,"Service was exceptional and presentation of every course was artistically choreographed. Everything was cooked perfectly and almost too pretty to eat. Nothing wowed my pallet, maybe I was distracted by the presentation. One of the priciest dinners we had in this trip, but overall very good. Service was exceptional. Very impressive establishment. Reserve in advance.",,Sep 2025
GuyJ0808,"Wokingham, United Kingdom",United Kingdom,5,null,null,null,null,"Just wow….
You would come here for the views alone. Set amongst the most enviable position with views of the fort and walls, and the sea beyond, just sitting here watching the sun set would be a memory in itself.
Then you add in amazing food, sumptuous wines, excellent service and an ambience that truly makes you feel that you have experienced a little taste and gem of Croatia.
Mario needs a special mention as his personality and attention to detail made this one absolutely magical night. Thank you once again.",,Sep 2025
Martha W,null,null,5,5.0,5.0,5.0,5.0,Wonderful dinner! Even had a special tasting menu for me as a vegetarian. Antonio provided exceptional service with suggestions and we never had to wait for anything. Courses and drinks timed perfectly. Very highly recommend.,,Sep 2025
Hugo D,null,null,5,5.0,5.0,5.0,5.0,"While perfectly located at a very beautiful and breathtaking spot overlooking the Adriatic ocean, the staff managed to enhance that beauty by providing the best service, the most delicious meal and creative meal and the best gestures to enhance the celebration of my birthday! Not only did they go out of their way to ensure I had a the most wonderful time with their courteousness and amazing white glove service, but the also went the extra mile by moving closer over looking the water and the most beautiful view of the Adriatic. All of these gestures made my celebration al the more special while supported by the deliciously tasting and creative food, paired perfectly by the most poignant wine suggestion of a local variety, previously unknown to me, trusting their expert suggestion which complimented my meal very specially. They also took extra steps and had extra gesture to provide a portable phone charger to my table as my phones battery was exhausted from taking so many pictures of my beautifully presented food and beautiful settings. 
A very special thanks to Antonio, my server, who was extremely attentive and guided me perfectly to the best and most delicious meal option, also a very special thanks to the sommelier Darko , who suggested the most delicious local wine which was previously unknown to me enhancing the meal just perfectly. 
Everyone at Nautika deserves the collective praise of making this, not only one of the best culinary experiences I have ever had, but the warmth and attentiveness of its staff makes it a most for your visit to Dubrovnik.",,Sep 2025
ada_lei510,"Macau, China",China,5,4.0,5.0,5.0,5.0,"We met a very helpful and passionate staff which makes our dinner even enjoyable! The name is this staff if Antonio! Besides, food is good and view is amazing though",,Sep 2025
Patrick L,null,null,5,4.0,5.0,5.0,5.0,"The food is delicious with amazing views.
Staff Antonio is nice and professional.
We have a wonderful moment and enjoy very much☺️",,Sep 2025
Piroska K,null,null,5,5.0,5.0,5.0,5.0,"We were celebrating a friend birthday, Antonio elevated our experience to another level. His knowledge of food and drinks selection brought us to another level we ever experience in USA. 
We loved the European hospitality very very much appreciate it.",,Sep 2025
rb1175,"Rancho Santa Margarita, California",USA,5,null,null,null,null,Great birthday dinner for my group of six guests. The food was decadent. Antonio met all of our needs and was attentive and knowledgeable and everything. Would come back again went back into Dubrovnik.,,Sep 2025
Rania M,null,null,5,5.0,5.0,5.0,5.0,"Dining at Nautika was an unforgettable experience, and Antonio made it truly exceptional. From the moment we arrived, his warm welcome and genuine attentiveness set the tone for the evening. He guided us through the menu with such knowledge and passion, making excellent recommendations that perfectly matched our tastes. Every detail of the service was flawless — professional yet personal — and he made us feel like honored guests rather than just diners. With breathtaking views and outstanding cuisine, Nautika is already special, but Antonio’s care and hospitality elevated it to a whole new level. Highly recommend!",,Sep 2025
Vacationer176679,null,null,5,null,null,null,null,"The most amazing food, the most amazing service by Antonio, the most amazing ambience. Wow!!!! Highly highly recommend!",,Sep 2025
Shou S,null,null,5,null,null,null,null,"An unforgettable experience at Nautika restaurant last night. Ivan is an incredible asset to the restaurant, his knowledge on the menu and his personable approach to welcoming us and looking after such a special meal for us was truly outstanding. Ivan made our experience that bit more special. Fantastic food, views, wine and service. Worth every cent. 

Thank you Nautika for a wonderful evening.",,Sep 2025
LME,null,null,5,5.0,5.0,5.0,5.0,"Great food and location! We ordered the tasting menu👍👍. Very romantic athmosphere.
@Ivan: you rule! Great knowlegde both related to Nautica and also local culture. Very friendly.",,Sep 2025
Ben S,null,null,5,null,null,null,null,"Had the best night and overall experience. The food was absolutely incredible with an incredible selection of tastes. Ivan was our waiter and he was fantastic! Genuinely lovely guy with amazing descriptions of each and every component of the meal. Oh and an excellent photographer as well at the end of the meal! 
As a whole it was the best night out I could’ve wished for. So glad me and my partner went to Nautika Restaurant looking over blackwater bay! Definitely one you have to tick off when in Dubrovnik.",,Sep 2025
Cayla,null,null,5,null,null,null,null,"Wow! We had the 5 course tasting, and it was phenomenal. Ivan was the most gracious server and truly made our experience memorable! We also had a wonderful sommelier to recommend some fantastic local wine pairings. Please do not miss this gem while you are in Dubrovnik. Be sure to request front row seating when you reserve. You will have a fantastic view of the sea and the Red Keep while you dine. What a fantastic way to celebrate our anniversary.",,Sep 2025
Mark F,null,null,5,null,null,null,null,"A truly special place. The service was just incredible, Antonio was so informative, attentive and fun! He added so positively to the whole experience. The food though was the star of the show. Phenomenal - particularly the beef and the lamb. Not to mention the spectacular views. If you want a memorable dinner in Dubrovnik, this is the perfect choice.",,Sep 2025
Leslie K,null,null,5,null,null,null,null,Great experience. Antonio was amazing. Fish was spectacular presentation. Perfect night. Couldn’t recommend it more highly.,,Sep 2025
Eleanor R,null,null,5,5.0,5.0,5.0,5.0,"We've had the pleasure of dining at Nautika for our friends bday! It was truly magnificent: the white glove service, delicious food, breath taking view. We went with their tasting menu with matching wine. Our options consisted of seafood and meat. It was perfect. What really stood out is our waiter Ivan who went above and beyond to make our visit and our friend who's bday it was feel extra special. Thank you for organising 3 different desserts and different wines to go with it. We also wanted to sit at the first raw, which was booked out. Ivan made sure we had that opportunity for our final complementary drink. We will never forget this amazing experience. Thank you.",,Sep 2025
Abbey A,null,null,5,null,null,null,null,"5 out of 5 doesn’t do this justice. We chose this as our last dinner of our honeymoon, before heading home and just wow!!! I genuinely lack the words to describe the extent of how phenomenal of an experience one evening here was. 

The hospitality of the staff deserves its own review, as does the bar program, and of course, as does the kitchen. 

Damir, the cocktail director is brilliant; curating a cocktail menu just as incredible and expansive as the dinner menu.

Ivan, our server, shines just as bright and only adds to the experience. 

Unfortunately, we head home tomorrow, but can’t wait to return not only to Dubrovnik, but Nautika, specifically. Thank you thank you thank you for a magical and unforgettable night!!",,Sep 2025
RushMorley,"Dublin, Ireland",Ireland,5,null,null,null,null,"I doubt we will ever have a more picturesque table in a restaurant. The stunning vista was matched by the quality of the food. The cooking and presentation was first class. The staff were hugely knowledgeable and super attentive.

Well worth a visit….",,Jun 2025
Tazfia R,null,null,5,null,null,null,null,"Had a lovely dinner at Nautika over the sunset with my partner, the views were absolutely incredible! Mario and Ivan gave exceptional service, would highly recommend.",,Sep 2025
Sandy Z,null,null,5,5.0,5.0,5.0,5.0,"Me and my girlfriend saw this online and it lived up to expectations. You pay for the food, service, view, and ambience! Mario and Ivan were incredible waiters and shared their love for travelling and football!",,Sep 2025
Yuliana P,null,null,5,5.0,5.0,5.0,5.0,"An amazing night, delicious food and definitely Antonio made the experience much more enjoyable. I recommend Nautika completely and of course for hispanophones ask for Antonio for attention. 
A night unforgettable, amazing dinner and Antonio is the best waiter in the world! Really the experience in Nautika was romantic and incredible!",,Aug 2025
Nina Isabelle A,null,null,5,4.0,5.0,5.0,5.0,"My partner and I had dinner at Nautika when we were visiting Dubrovnik. We ate at a couple of the other restaurants affiliated with the Nautika and loved the food there. Nautika was by far the fanciest! The menu was very diverse and the food we had was great. The atmosphere was very relaxed, perfect after a long day walking the city walls in the sun. The service was unparalleled. Our server, Ivan, was amazing and took great care of us. He had great recommendations for us when we asked and was very attentive. Second to his hospitality are his camera skills and funny jokes! Great experience overall!",,Aug 2025
kelly,"New York City, New York",USA,5,null,null,null,null,"Amazing view, outstanding food and wonderful and charming service from Ivan. We couldn’t not have asked for a more beautiful night or better food. Go there!!!",,Aug 2025
Arnoldo F,"Acworth, Georgia",USA,5,4.0,5.0,5.0,5.0,"The place is amazing, the food is 100% perfect, and Antonio is more than you need for an excellent dinner. We selected this restaurant for our anniversary.",,Aug 2025
Aura,"Kennesaw, Georgia",USA,5,null,null,null,null,"Today we celebrate our 29 Anniversary, and this place is amazing, and the attention was excellent Antonio our waiter has a high level of knowledge in the art of serving and his recommendations for our dinner were incredible. The place is very nice and the food is of high quality.",,Aug 2025
Henrika S,null,null,5,5.0,5.0,5.0,5.0,"Excellent dinner, with beautiful views and even better service by Antonio! Food was great and inventive. Will be back!",,Aug 2025
Johanna W,"Stockholm, Sweden",Sweden,5,null,null,null,null,Everything was superb and Antonio our waiter was fantastic! Food was excellent and the setting was beautiful. Definitely recommend to anyone who wants to have a superclass dinner.,,Aug 2025
Vesna J,"Pittsburgh, Pennsylvania",USA,3,2.0,3.0,3.0,2.0,"Restaurant Nautika was supposed to offer fine dining and experience. For us price was not an issue, we just wanted to offer our friend nice diner experience in Dubrovnik. Unfortunately as soon as we arrived hostess was not kind or friendly and this setup the tone for the evening. She even did not walked us through the restaurant, she just seat us at the table in front of the restaurant by the busy crowd of tourists. Food and service were fine but not worth the price. These makes entire evening average except for very expensive bill.",,Aug 2025
Michelle N,"Shinjuku, Japan",Japan,5,5.0,5.0,5.0,5.0,Great service great food. We had a great time here especially with the service by Antonio. We would definitely recommend this restaurant to our family and friends.,,Aug 2025
Nicholas K,null,null,5,null,null,null,null,"Amazing meal, perfect scenery, and stellar service from our waiter Ivan! Would highly recommend to anyone visiting Dubrovnik!",,Aug 2025
SMGB,null,null,5,5.0,5.0,5.0,5.0,"It was an incredible dinner we had at Nautika.
We went there with our Labrador.
The staff was terrific, many thanks especially to our waiter Henry.
We look forward to coming back to Dubrovnik!",,Jul 2025
Bev W,null,null,5,null,null,null,null,"We had a lovely family dinner on a day out in Dubrovnik. We were looked after by Antonio for the evening. He explained the courses & the olive oil! It was an experience we will all remember. The food was delicious - we opted for individual courses - mine, the beef was superb. 

A fantastic evening looked after by Antonio. The whole experience highly recommended.",,Aug 2025
Jordi F,null,null,5,null,null,null,null,"Absolutely exceptional food and service, best beef I’ve ever had. Staff were amazing, especially Antonio who was fantastic all round especially with his help and friendliness. 10/10 would recommend.",,Aug 2025
Erin W,null,null,5,5.0,5.0,5.0,5.0,ANTONIO was the best !!!!!!! He was great and the experience was the best thing ever! Highly recommend. The food was the most amazing I’ve ever had.,,Aug 2025
Callum W,null,null,5,null,null,null,null,"We had such an amazing dinner here. We were served by Antonio he was lovely, very kind and entertaining! The food was also to die for!",,Aug 2025
Barbara,null,null,5,null,null,null,null,"Wonderful location, with a very suggestive view. One of the best dinners ever. Exquisite fish, cooked and presented excellently. Everything is taken care of in detail. Perfect Service. Mario, our waiter, deserves a round of applause. It is an expensive restaurant, but it is really worth it.",,Aug 2025
silvinatarrab,"Buenos Aires, Argentina",Argentina,5,null,null,null,null,"We had dinner at the restaurant, booked at 6.30pm and stayed until nightfall. The place has a strategic view is wonderful, the food excellent and also the attention. It's a place with traditional style, table with white tablecloth, beautiful",,Aug 2025
Daniel1959,Long Island,Long Island,5,5.0,5.0,5.0,5.0,"It is with extreme pleasure that I write this review. I have dined in fine dining establishments all over the world but my experience tonight leaves me speechless! Tonight’s dining experience was clearly over and above anything I have had in my 60 plus years.
The table was waiting for us on the outdoor patio with a breathtaking view. The quality and selection of all dishes was beyond anything I have ever encountered. The white glove service performed by Hrvoje was perfection. His suggestions were amazing and on point.

The cost was not inexpensive, but very appropriate for the quality of the food, service and experience. Hrvoje really surprised us with “a little something”at the end of our dining experience, and it was an experience, not a meal.

My recommendation is, if you are planning g a trip to Dubrovnik, you Must Book this in advance as you do not want to miss this gem.",,Aug 2025
Top S,null,null,5,null,null,null,null,"Very good experience with Antonio (Banderes)
Beautiful restaurant set in the best location ! Amazing food and great fun",,Aug 2025
Damien S,null,null,5,null,null,null,null,"Excellent evening. Exquisite food, impeccable Service. Thank you Antonio who helped to give this evening a unique character",,Aug 2025
Erica L,null,null,5,null,null,null,null,"The location of the restaurant is amazing, right next to West Harbour. The staffs are nice and friendly, the food is fresh and delicious:)",,Aug 2025
Celeste G,null,null,5,null,null,null,null,"I had the sea bass and soup. The ambiance was 10/10 especially at night. The waitstaff, specifically, Hrvoje, went above and beyond to make this experience so enjoyable. Highly recommend",,Aug 2025
Silvan T,null,null,5,4.0,5.0,5.0,4.0,"Nautika Restaurant was an amazing experience. The view itself is worth it, but the food really took it to another level, everything was delicious and beautifully done. What made the night even better was the service. Our waiter, Henrey, was outstanding. Super friendly, attentive, and just made us feel really well looked after. We also got a special treat since we were celebrating our honey moon. Couldn’t have asked for a better experience.",,Aug 2025
Kay Hsiang O,null,null,5,4.0,5.0,5.0,5.0,"Fantastic views of the sea and the city walls. The food was creative, fresh and delicious. Service was also top notch from Henry and his team.",,Aug 2025
Josie W,"Leatherhead, United Kingdom",United Kingdom,5,5.0,5.0,5.0,5.0,"Where do I start… I visited Nautika this evening with my Boyfriend for my Birthday, everything from start to finish was incredibly special. The view, the delicious food and the exceptional service. Antonio made us feel like the only people in the restaurant, he was warm, approachable and attentive. Antonio has an extensive knowledge of the menu and all things Dubrovnik, which was great as he guided us through the dishes, we had the tasting menu, every dish was nothing short of spectacular. Vinko guided us through the extensive wine menu, he took into account what we liked and provided us with suggestions. The wines he selected for us were perfect and exactly what we wanted. Thank you to Antonio, Vinko and the team here at Nautika for making my birthday one to remember. We will be back!",,Aug 2025
Hannah F,null,null,5,null,null,null,null,"Incredible evening with lovely food, a great view and brilliant service. Henry gave us a wonderful experience and we would recommend this restaurant to anyone. Would love to come again!",,Aug 2025
Catalin Popa,null,null,5,5.0,5.0,5.0,5.0,"This is a great fine dining experience - great food, great atmosphere. And Hrvoje’s services were great! A true high-class experience!",,Aug 2025
Andrew B,"Warriewood, Australia",Australia,4,4.0,5.0,5.0,5.0,"My wife and I celebrated our 25th wedding anniversary, and so I wanted to treat my wife to something special. We dined at Nautika, where the setting and the view is spectacular. The service from Mario was top notch, and the meal (I had the veal shoulder for my main) was absolutely delicious. There was a sommelier to ensure best possible choice of wine to accompany the meal, so overall the meal experience was fabulous, and something you would expect from a restaurant with 2 Michelin stars. The one disappointment I had was that I had sent a number of emails advising the restaurant of our special occasion, and so on arrival, apart from the reception lady wishing us a happy anniversary, there was no other acknowledgment of any kind from any of the staff - which I feel is disappointing. Overall, a fabulous restaurant in a beautiful setting, but does come with a premium price tag.",,Aug 2025
Zoe D,null,null,5,5.0,5.0,5.0,5.0,"Amazing experience. Best dinner we had in Croatia. Definitely recommend coming at least one night you are here. Food was so fresh and experience was 10/10. Antonio was our waiter and he was so wonderful, knowledgeable, and kind.",,Aug 2025
Michelle D,null,null,5,5.0,5.0,5.0,5.0,"We had a wonderful evening! The view is absolutely stunning and creates a truly romantic atmosphere – perfect for a dinner for two. The value for money is excellent, and the food was of outstanding quality. A special thanks to Antonio: he is an exceptionally friendly and attentive waiter who made the evening even more enjoyable with his warm personality. We will definitely be coming back!",,Aug 2025
Sara M,null,null,5,null,null,null,null,"Great service, our server Antonio couldn't do enough for us. We sat out on the patio and the views were amazing. All the food and drinks were exceptional. If we came back to Dubrovnik we would visit again.",,Aug 2025
Katie F,null,null,5,null,null,null,null,Antonio was so attentive and made our experience really special. The food and drink was to die for and the views were spectacular.,,Aug 2025
Liz W,California,USA,3,3.0,3.0,5.0,5.0,"The location is stunning and that is what you are paying for a solid but somewhat underwhelming experience for the price. We were told upon arrival that we would have our table for 2.5 hours and that was all. I wish. We struggled to get out in 3.25 hours. Wines missed the courses they should have been paired with, which is not acceptable at this price point. Ditch the gloves and get the wines to the table with the food. That said our waiters were lovely, I just think they were understaffed for the service they were attempting to provide. The dinner started strong but then just faded with the timing.",,Aug 2025
Charles1,null,null,5,5.0,5.0,5.0,5.0,"The restaurant definitely justified its prices, which are high by world standards. The view is beautiful and unforgettable, as if you are merging with the past of this ancient city. The food is excellent and beautifully presented. The beef tartare, gambero rosso and veal cheek were the most delicious, although the lamb was also prepared superbly. Professional and friendly service keeps everything under control.",,Aug 2025
Sayanthen R,null,null,5,null,null,null,null,"Fantastic service by our good waitress Henry (Hrvoje). The food was also very good! Very good wine that was recommended by a wine knower at the restaurant. 
Fantastic view and a very good experience! Highly recommended.",,Aug 2025
April K,"Westchester County, New York",USA,5,3.0,5.0,5.0,5.0,"Stunning views and a beautiful experience. In my opinion, this was worth it to try once, but I probably wouldn’t go back a second time. Also, if you are budget conscious, this is probably not the place for you, as the prices are not cheap and the portions are very small. Very fancy though.",,Aug 2025
Penny E,null,null,5,5.0,5.0,5.0,5.0,Delicious food and wine and the service was 10/10. Our waiter Mario was absolutely amazing! Definitely coming back. This is a must if you are visiting Dubrovnik!,,Aug 2025
Molly,null,null,5,null,null,null,null,"Fantastic service, amazing scenery and even better food! Henry was brilliant - we listened to all of his recommendations and were so impressed (particularly by the Shrimp Gnocchi and the cocktails to finish our meal). Left feeling very happy and we cannot wait to tell our friends!!",,Aug 2025
Silvia B,"Madrid, Spain",Spain,5,5.0,5.0,5.0,5.0,"Went with my mum and it was better than expected.
The service, the views, the food, everything was fantastic.
One of the best restaurants (if not THE best) we tried during our trip to Dubrovnik.",,Aug 2025
Carolina L,null,null,5,5.0,5.0,5.0,5.0,"Really good food and amazing service. Great spot for a dinner date, and good view of the city walls and sea view. Hrvoje (Henry) was extremely polite, friendly and helpful. I would really recommend this place!",,Aug 2025
Andrew W,null,null,5,5.0,5.0,5.0,5.0,"Beautiful view with even better food. Topped off with flawless attentive service from Hrvoje, he really made our night special.",,Aug 2025
Dave A,"London, United Kingdom",United Kingdom,5,5.0,5.0,5.0,5.0,"We were here for my husband’s birthday. Our waiter Henry couldn't have been more charming. Such an incredible setting, and the food and wine were exquisite. Highly recommend.",,Aug 2025
Stay48040191729,null,null,5,5.0,5.0,5.0,5.0,"Unforgettable evening, food, place and above all excellent care. I would recommend it without hesitation. Deserved Michelin star",,May 2025
Anna G,null,null,5,null,null,null,null,"They kindly upgraded our table to the terrace. Food was delicious - we got complimentary dessert as well. Antonio was very friendly, informative and professional.",,Jul 2025
Georgia V,null,null,5,5.0,5.0,5.0,5.0,"An unforgettable experience from start to finish. Each dish was beautifully presented and bursting with flavor.

Special thanks to our waiter, Antonio, who made the evening even more memorable. His knowledge, warmth, and impeccable timing elevated the whole experience.

Flawless service, stunning ambiance, and exceptional food—definitely worth the hype!!",,Jul 2025
Giselle H,null,null,5,null,null,null,null,"Beautiful view and great food! Especially the foie gras! Love here and the amazing hospitality:)
Would love to come back again! Antonio is great!",,Jul 2025
Stephanie L,null,null,5,null,null,null,null,"Superb service from Antonio! Food and the view was lovely! Definitely recommend, especially for special occasions!!",,Jul 2025
World Explorer,null,null,5,null,null,null,null,My husband and I had the most magical dinner at Nautika. We were seated first row of the outdoor terrace which overlooks the walls and the fort. The service and food were excellent allowing us to enjoy cuisine at its finest. The dinner was layered and every part was a special moment. We feel so fortunate to have had this unforgettable dinner experience!,,Jul 2025
Anastasia G,null,null,5,5.0,5.0,5.0,5.0,We came with my partner for his birthday. The food was amazing and our waiter Antonio was brilliant. Highly recommend!! Thank you ☺️,,Jul 2025
itsme90,null,null,5,null,null,null,null,A lovely evening. Refined and tasty cuisine. Antonio was very attentive to our every need (and it was not obvious since I was pregnant and there were so many foreclosures in the choice of dishes).,,Jul 2025
U U,null,null,5,5.0,5.0,5.0,5.0,"The magical atmosphere whisks you away for a fairytale experience by the water. Seated on the outdoor terrace promises great views of the fort and city walls. Our server, Ivan, and somalier, Darko, provided a personal touch throughout our 5-course seafood tasting. The wines were paired beautifully and complimented each dish. We left very satiated, yet wanting more. A ""must do"" on your Dubrovnik visit! I give it 5 🌟 rating!",,Jul 2025
Luiza R,null,null,5,5.0,5.0,5.0,5.0,Went with my family and the server Antonio made our experience very special! Very good food and great service. Worth it!,,Jul 2025
melisa b,null,null,5,5.0,5.0,5.0,5.0,"Hrana, piće i usluga su bili vrhunski od početka do kraja. Svaki konobar s kojim smo imali kontakt bio je informisan, ljubazan i izuzetno pažljiv. Posebne pohvale za Antu, koji je strpljivo odgovarao na sva naša pitanja i učinio da ovo iskustvo bude nezaboravno! Posebno nas je oduševilo to što su osoblje zapamtili naša imena — predivan detalj. Pogled je nevjerovatan, a ambijent savršen. Usluga i kvalitet vrijede svake marke i ovo je definitivno mjesto koje morate posjetiti ako ste u Dubrovniku! — The food, drinks and service were phenomenal! All of the servers were very informed and helpful, incredibly polite and very attentive! Special shoutout to Ante who answered all our questions & made the experience one to remember! The servers even remember your names?!?! Great view & great setting overall. Totally worth the price & is a must visit if you’re going to Dubrovnik.",,Jul 2025
Anna N,null,null,5,5.0,5.0,5.0,5.0,"Amazing food, spectacular views, impecable service! Worth the visit! Antonio our server made the experience even more special!",,Jul 2025
