username,location,country,rating,rating_value,rating_service,rating_food,rating_atmosphere,review,title,date
Harmanjd007,Cambridge,Cambridge,5,null,null,null,null,"Had an amazing time with my daughter and son in law .the service was perfect. 
Professional 
Friendly 
And prompt service throughout. 
Our waiteress was marijeta 
5 stars all round .
Thank you very much",,Oct 2025
Louisa R,"Cupertino, California",USA,5,null,null,null,null,Really enjoyed our dinner here. We didn’t make reservations but we were seated immediately with a great view of the harbour . Delicious food and attentive service. We are going back !,,Oct 2025
Lee W,null,null,5,4.0,5.0,5.0,5.0,"I’m not sure what was better, the food, the service, or the view; all were fantastic! Marco was super attentive and very professional! I highly recommend!",,Oct 2025
Baggio1018,"London, United Kingdom",United Kingdom,4,4.0,5.0,4.0,5.0,"We ate on two occasions here, once for a light meal and another for a full dinner.

One thing to note first, if you have the Dubrovnik pass, mention it to get 10% off the bill.

The restaurant is right by the harbour, so if you are looking for the classic sunset view, get there early on for a balcony table (you may still need to wait). We were lucky and got a table, although as it had just rained on the day, it was awfully chilly (but the restaurant is prepared with small blankets for you to wrap up in).
Cannot fault the service, the staff were patient in explaining the menu and provided good service.

The food, hmmm, this is where it is not consistent, so some work is needed.
The bread basket is nice and varied, the grilled squid is also decent quality, but the fish soup was bland and plain (with very little fish in it).

The second time we visited, we ordered a fish stew and the grilled squid again. The fish stew was nice, would recommend.

All in all, a decent restaurant in a good location. Prices are typical of Dubrovnik Old Town so just be prepared for that.",,Sep 2025
TiaLapi,"Sudbury, Canada",Canada,5,5.0,5.0,5.0,5.0,Marijo was an attentive waiter and made excellent suggestions. We appreciated his checking in and making us feel so welcome.,,Oct 2025
Tory S,null,null,5,null,null,null,null,Beautiful view and amazing food. Our waiter Obren was the best. He was so friendly :) Gave us some great tips about the menu. Made us feel so welcome,,Oct 2025
Kerry B,null,null,5,null,null,null,null,"Great service (Obren was our waiter). Very attentive, great food and fabulous views. 
Definitely worth a visit when in dubrovnik.",,Oct 2025
Paola M,null,null,5,null,null,null,null,"Very friendly local in the old town, extremely friendly staff. We ate very well and paid fair given the prices of the city. He deserves to go back. Congratulations!!!",,Oct 2025
sally,"Newbury, United Kingdom",United Kingdom,5,null,null,null,null,"A stunning restaurant with a terrace overlook the old harbour.
Service is excellent and the food superb.
A small menu which always indicates great cooking and the wine is excellent.",,Oct 2025
S A D,"Chipping Campden, United Kingdom",United Kingdom,3,null,null,null,null,"Even though we had specifically visited earlier to book our table for 20:30 we were greeted by a very stoney faced, slightly condescending waitress who couldn’t find our booking and she went off to talk to all the other waiting staff to see if we had truly done this ! Eventually we were led to a table … so maybe someone had remembered us. 

The Dubrovnik Food Festival is on and there was a Set Menu on the table with two options - a Meat option and a Fish Option. In addition to the usual menu. 

We opted for the Special menu. 

The fish starter (strangely included meat so not suitable for a Pescatarian) was delicious. Fine slices of tuna, capers, veal pate and fresh basil. 

The main course was the blandest beige-est plate of food. Fish, cauliflower puree - so boring. Desperately needed some spice, some flavour or some green vegetables. 

Final course was a take on the chocolate Raffello and was interesting. 

The staff were attentive but not friendly. The view was lovely. 

The smell from the neighbouring diner’s heavy tobacco habit was not good. Although technically we were “outside” so we had to put up with it. 

Tonight we are going to try a more intimate restaurant … of which there are plenty here thankfully. 

Three stars is probably too generous.",,Oct 2025
Kim B,"Houston, Texas",USA,5,4.0,5.0,5.0,5.0,"We could not get a reservation so went early as a walk in and got a great table. Mario/Maki was amazing, he was very personable and gave great recommendations. The black risotto was spectacular, as was my husband’s tuna. High marks all round!",,Oct 2025
Travellingdoc,"London, United Kingdom",United Kingdom,4,null,null,null,null,"Located by the old port area of Dubrovnik, this restaurant sits beautifully under the stone arches overlooking the small harbour — a lovely spot with great views. It’s part of the same group that runs other well-known places like Panorama, Dubravka 1836, and the fine-dining restaurant Nautika.

We hadn’t made a booking but managed to get a table in the second row facing out through the arches. The setting was charming and ideal for a relaxed lunch or early dinner.

We started with a glass of white wine and some bread. The bread selection (€3) included three different types — reasonable but nothing special, and we didn’t end up eating much of it. Prices overall were on the higher side, even by European standards.

For the main course, I had the cuttlefish on a bed of potato purée with a squid ink sauce. This dish was excellent — perfectly cooked with a tender interior and crispy exterior, and the black squid sauce added great flavour, though I wish there had been a bit more of it.

Service was friendly and professional. Our waitress, Draga, and the hostess, Maya, were both helpful 
, and I particularly appreciated that they offered a small tasting before ordering a glass of wine — a nice touch.

Overall, Gradska Kavana Arsenal offers a beautiful setting and solid food, with standout seafood and good service, though prices are a bit above average for what you get.",,Oct 2025
Alison M,"Godalming, United Kingdom",United Kingdom,5,5.0,5.0,5.0,5.0,"Just enjoyed a fabulous lunch here. The perfect location, fabulous food and the best service. Thank you Maria for looking after us so well. Would definitely recommend a visit",,Oct 2025
Rossisto,"Newcastle upon Tyne, United Kingdom",United Kingdom,5,null,null,null,null,"Amazing food, amazing view. This restaurant made our anniversary absolutely amazing! The service from Djana was exceptional! One of the most pleasant lads i have ever met. He made us want to come back again in thr future! 

Thank you!",,Oct 2025
阿宝 白,null,null,5,5.0,5.0,5.0,5.0,"Very good!!! Very good food very good service, in the ancient city a crowd of expensive restaurants appear to be very good value for money, the point is also delicious, recommend everyone, risotto is delicious, spaghetti is delicious, even a few more times to order different food, should also be able to receive discounts to other stores!!",,Oct 2025
jameseogrady,"Norwich, United Kingdom",United Kingdom,5,5.0,5.0,5.0,5.0,"Beautiful restaurant serving beautiful food with beautiful views of the harbour. In the old covered warehouse where the Ragusans used to load and unload ships secretly, you have a spectacular view of the port while eating your breakfast, lunch or dinner. I had dinner during Dubrovnik Restaurant Week and then had breakfast the next time.

Friendly staff, excellent food, would definitely go again.",,Oct 2025
Kayla G,null,null,5,null,null,null,null,"Marjo was our server for dinner tonight and he was absolutely amazing! He was extremely helpful with not only the menu but what to do around town and giving us all the best recommendations. We last minute came to the restaurant and we left with having the best experience. Marjo was so engaging, funny, and by far the best server. Definitely recommend coming and requesting to be in his section.",,Oct 2025
Mona W,null,null,5,null,null,null,null,"Our waiter Marino was great, very friendly . The food is amazing, one of the best fish dishes I’ve ever had. Definitely recommend this amazing place. Worth coming",,Oct 2025
kellyttravels,"Broomfield, Colorado",USA,5,null,null,null,null,"Excellent views, food and service. Had the cuttlefish risotto. Delicious! Dominik was an excellent server. A delightful experience.",,Oct 2025
Marisa G,null,null,5,null,null,null,null,"Fantastic food, beautiful once in a lifetime view, excellent service. O’Brien was our server and was incredibly attentive, charming, and kind. Would recommend!",,Oct 2025
Angeles C,"Pontevedra, Spain",Spain,5,null,null,null,null,Wonderful place and even better food. We had dinner here on Monday and ordered a fish tasting menu with tuna and sea bass. Excellent plating and amazing food. All in a wonderful setting and in a very well kept place. Service very up to scratch. You can't ask for more,,Oct 2025
RK502,"Palm Springs, California",USA,5,5.0,5.0,5.0,5.0,"This was our first trip to Dubrovnik and it was my responsibility to book a restaurant to celebrate my wife's birthday. What a daunting task considering all the amazing dining options in such a magical city. After whittling it down to a dozen or so options, the coin flip(s) finally favored Gradska Kavana Arsenal and I made an on-line reservation. When we arrived in the city, I dropped in early into the restaurant and spoke with the hostess and asked whether she could reserve a prime table for the special occasion. She assured me that she would do so.
When we arrived later in the evening, we indeed had a prime table along the waterfront. Now the atmosphere was excellent, how would the rest of the evening turn out.....and it started with a very friendly and most efficient water. His service along with other wait staff was excellent. And the food.....from appetizers to entrees to the wine.....equal to the views and the service. All combined for an incredibly memorable evening in an incredible city!",,Sep 2025
Lily Tait,"London, United Kingdom",United Kingdom,5,null,null,null,null,"I wasn’t able to book a reservation at first, as the restaurant was fully booked due to the opening of the summer festival. The following evening, I decided to try again and was told there’d be a short wait. They said I could enjoy a drink in the bar area in the meantime. This turned out to be perfect! We sat next to a pianist and saxophonist, sipping on a refreshing Hugo Spritz before dinner.

After about ten minutes (much quicker than expected), we were seated. Our waiter came over right away to take our drinks order, and the service throughout the evening was impeccable. The food was absolutely delicious. I still have no idea how they make the chicken so tender and full of flavour!

We had a lovely view of the harbor from our table, though if you’d like to sit right by the water, I’d recommend booking in advance. Overall, a wonderful evening. I’d love to come back!",,Jun 2025
Heather J,null,null,5,null,null,null,null,"Good location with lovely view. The service was friendly, professional. We were seated immediately and the service was excellent. Lovely tasty well presented food. Good choice with gluten free options available. It was lovely sitting along the front but if visiting on a gusty day it would probably be worth sitting further back in the restaurant as our drink was blown over by a gust of wind. Although it landed on my husbands plate luckily my drink missed his food.",,Oct 2025
Lukas S,null,null,5,null,null,null,null,The service was what I expect from a michelin star restaurant. Even without it the service was beyond amazing all the way,,Oct 2025
iharrill,"Calgary, Canada",Canada,5,null,null,null,null,"Our server, Marco, was simply excellent! He was so attentive and polite, he had a clear mastery of the available dishes and their preparation and was very adept at continually clearing our table of used dishes throughout our meal. His quiet professionalism stood out and added to the delicious, expertly prepared meals…..and their presentation was fantastic. We can’t recommend this restaurant and Marco enough. Glowing praise",,Oct 2025
Dina K,"Manlius, New York",USA,5,null,null,null,null,"We had a fabulous experience at this gorgeous seaside restaurant. It was a rainy, cold day so we had to sit inside, but the dining room is lovely and a pianist was playing nice dinner music. Our server was attentive and friendly, and he did not rush us at all. We thoroughly enjoyed our truffle pasta and seafood risotto dishes. Homemade focaccia bread, olives, grilled vegetables and an amazing chocolate orange cake rounded out the meal. 

I would love to go back on a sunny warm day to enjoy amazing views from the seaside terrace.",,Oct 2025
Momellenman,"Grayslake, Illinois",USA,5,null,null,null,null,"Delicious seafood pasta and chicken entrees. Marco was a wonderful server, Beautiful view even on a windy night. Music was lovely and all in all an amazing night.",,Oct 2025
yu z,null,null,5,null,null,null,null,great view！great dishes！great service！very nice experience in croatia。find marijo and he will arrange everything，you can trust him nice guy！,,Oct 2025
Paul F,"Truro District, United Kingdom",United Kingdom,5,null,null,null,null,"Well, if you don't pop in here, you have possibly missed out! It's a fantastic restaurant with a grand facade and gravitas!

We stopped twice for breakfast because it did breakfast well....breads, Eggs Royale, Orlando, Mimosa, and bloody Mary. Plus, great coffee.

The service is impeccable, everyone is pleasant and very efficient, with views far out to sea or looking back into the old town.

On a cool day, it was nice to cuddle up under a blanket. It is enjoyable and not to be missed if you are visiting.",,Oct 2025
Ann D,"Stockholm, Sweden",Sweden,3,null,null,null,null,"Took a long time to order and took forever to order coffee after dinner. The food was very good so it weighed up, plus the beautiful view.",,Oct 2025
Merisa S,null,null,5,null,null,null,null,Ivo was our server and was excellent. He was very attentive and descriptive. We had an amazing experience with him. The live music was lovely too.,,Oct 2025
randy s,"Northampton, United Kingdom",United Kingdom,5,null,null,null,null,"location is very good they managed to give us the sea side view even though we didnt make reservation, the food is amazing we ordered fish stew that my wife love so much and i had veal which is good as well. cheese cake i recommend for dessert as recommended by Stjepan with cappuccino. We also had breakfast on our first day here and food were lovely and good portion. Service is second to none specifically Stjepan who’s very friendly and helpful. Dubrovnic is pricey in general whichever place you go so I would say the food they serve is good value for money.",,Oct 2025
michael m,"Dublin, Ireland",Ireland,5,null,null,null,null,From the moment we walked into town restaurant to when we left we were treated like royalty. We loved it so much we went back 3 times. Best staff I have ever experienced in a restaurant. Food excellent and view was special,,Sep 2025
James G,"Langport, United Kingdom",United Kingdom,5,null,null,null,null,Fabulous food in an amazing setting. Make sure to get a seat on the terrace and it won’t disappoint. Best service we experienced also on our visit to Croatia,,Sep 2025
Pamela K,null,null,5,null,null,null,null,"Delicious food, gorgeous atmosphere, great service. Would recommend and will definitely be back. It wasn’t that warm so very happy with the blankets!",,Sep 2025
Carly_CK130,West Hollywood ca,West Hollywood ca,4,4.0,5.0,4.0,5.0,"Famous Dubrovnik restaurant does not disappoint. Very lively with great views of people and harbor. Terrific food - grilled tuna, vitello tonnato, prosciutto-- and lovely Croatian wines. Special thanks to Marco, a most charming and knowledgeable server!",,Sep 2025
KEMAL SIK // SCALA35,"Amsterdam, The Netherlands",The Netherlands,4,null,null,null,null,"In fact, Dubrovnik is one of the finest restaurants in terms of location, quality, and service. 
Prices may be a bit higher than all of Dubrovnik, but we had the best food here for 3 shots and good service here. 
One critical appetizer. Sorry, not successful. 
Highly Recommendation.",,Sep 2025
bel_ini04,"London, United Kingdom",United Kingdom,5,null,null,null,null,Delicious food with lovely atmosphere. We were overlooking the square and was lovely and chilled. Delicious risottos and cocktails,,Sep 2025
Emma M,null,null,5,null,null,null,null,"Excellent food and brilliant service from our waiter Marco. We were visiting on our honeymoon and he made our experience enjoyable, giving us a table with a great view too. We will definitely be back.",,Sep 2025
Val,null,null,5,null,null,null,null,"You won’t be disappointed with your visit to Gradska KA. The stunning setting by the harbour as the sun sets, great cocktails, the live cello and piano music and the great service from Stjepan. And that’s before you even sample the delicious food! A memorable night in Dubrovnik-we’ll be back.",,Sep 2025
NHK13,"Mapledurham, United Kingdom",United Kingdom,5,null,null,null,null,"We had a 9pm booking but arrived 30 minutes early. No problem - we were well looked after and give a lovely table in the bar. Before our cocktails were ready (I had a fantastic signature coffee negroni - picture attached) we were taken to our table outside. What a location! Stunning views and a fantastic atmosphere. We started with the burrata salad which was delicious and fresh. To follow, I had the seafood risotto and my wife had the tuna. Both were excellent. In addition, the service was top class throughout and delivered with a personal touch.",,Sep 2025
Fernanda A,null,null,5,null,null,null,null,"Excellent and very cozy place, beautiful view, very good breakfast (and also dinner) and Bers attention very dedicated and friendly, we will come back!",,Sep 2025
Cris Cicirello,"Marlow, United Kingdom",United Kingdom,4,null,null,null,null,"Lovely view, decent food, ok welcome but for us not a 5 star lunch. Price was not bad at 70 euros for two including a glass of wine",,Sep 2025
ROBERT M,null,null,4,null,null,null,null,"We met our son and his young family, who live in Europe, for a 10-day holiday. Dubrovnik offered lots of activities - exploring the city, short cruises, beach excursions to islands by ferry and right by the city walls. The weather was wonderful in September and the seafood was amazing.

Some suggestions: pack light, there are endless stairs and no transport in the walled city. If you take a tour make sure there’s adequate time at the destination. Our day trip to Mostar and the Kravice Falls was a big disappointment with 7 hours on the bus and little time at either destination. 

We enjoyed the trip but if we did it again, we would make our base a less touristic town and go to Dubrovnik for a night or two.",,Sep 2025
MisterHonesty12,null,null,4,null,null,null,null,"Having twice been thwarted in booking this place pre-trip, we chanced our collective arm on passing on a Saturday night and waddayaknow, they had a table. The conditional 40 minute wait in the lovely lounge barely lasted 10 minutes, enough time for us to get two G&Ts started. And then to the table overlooking the magical little harbour in Old Town. 

Service was prompt, indeed the bread, oil and olives were barely down before mains arrived - not to worry, there's worse things in life. Fillet for her, ribeye for me. Mine came with a pot of new potatoes covered in a cheese sauce. Hers was accompanied by mushrooms which is the only food I dislike (not too keen on semolina either...). 

It was more satisfying than spectacular, but I have no gripes. The price was what you might expect for that location but I thought it was fair for what we had.

I probably wouldn't rush back but that's less about this restaurant and more about the proliferation of fantastic alternatives.",,Sep 2025
eds,"Belmont, California",USA,5,null,null,null,null,"This is our best meal experience in Croatia. The setting, with the view of the harbor, is marvelous. Service is impeccable. Food quality is everything we expected in a high standard restaurant. Our server Anthony is the most attentive and courteous we’ve experienced. Thank you, Anthony.",,Sep 2025
Tim H,null,null,5,null,null,null,null,We arrived late from the airport and were starving. Loads of people said the kitchen were closed. The staff at Arsenal took pity on us and said they were find a table and would serve us despite it being after 10.30 pm. Not only did they find us a table but a table with a view. The food was great and reasonably priced for Dubrovnik and the wine exceptional if a tad expensive. The staff were so nice.,,Sep 2025
IrishFan-80,"Lancaster, Pennsylvania",USA,5,null,null,null,null,"Having just paid twice as much at their sister restaurant we much preferred here. First off our waiter Bero was the best! Then apps, entrees, cocktails and desserts were all delish.
Loved the marina view and activity too.",,Sep 2025
marcella c,null,null,5,null,null,null,null,"Amazing experience!!!
I had the truffle past was delicious.
The ambiance is beautiful, perfect for a romantic dinner. 
The waiter Zac is really nice and service was impeccable. I recommend.",,Sep 2025
Vinicius L,null,null,5,4.0,5.0,5.0,5.0,"Amazing dinner! The food was delicious and the staff was very kind with me and my wife. The waiter Zac was very attentive as well.
The restaurant os beautiful and in a beatiful location in old town.",,Sep 2025
elizabeths_GB1987,"Birmingham, United Kingdom",United Kingdom,5,null,null,null,null,"Have been here in breakfast 10days ago with my friends.
Really suprised with quality and speed of preparation.
Good service and spot of the caffeteria.
Recommended.",,Sep 2025
Bunty,United Kingdom,United Kingdom,5,null,null,null,null,Absolutely superb! We had a table by the waterfront which added to the occasion. The food was exceptional. This was the only restaurant we found in Croatia that truly catered for a coeliac diet and provided delicious options. Well trained and friendly staff. All round excellence!,,Sep 2025
Julia C,null,null,5,null,null,null,null,Ana was incredible! She recommended the seafood risotto and it was delicious. She gave us a carob aperitif for after the meal. I would highly recommend this restaurant.,,Sep 2025
Aundrea j,null,null,5,null,null,null,null,Ana was so sweet and helpful about the food and suggested some amazing dishes. The seafood risotto was a highlight for my party. Ana was such a treat.,,Sep 2025
Tim W,"Eureka, California",USA,5,5.0,5.0,5.0,5.0,"Beautiful day on the patio, at the edge of the old port. A nice breeze cooled us after a ride up the tram and walking in the hot sun. The staff was welcoming and friendly. Marco took exceptional care of us, right down to the surprise birthday dessert for her with a large sparkling candle. The restaurant spontaneously broke out in a chorus of Happy Birthday! What a memorable wrap up to our day in Dubrovnik!",,Sep 2025
Sheila,null,null,3,null,null,null,null,"Yesterday I had lunch at this restaurant, ordered a tuna salad that was good, but with strong taste. I had a really bad night. The location is good and the Mood very nice. Unfortunately, I did not have a good experience.",,Sep 2025
Melinda Lemke,"Tampa, Florida",USA,5,null,null,null,null,The view is beautiful. The squid ink risotto was amazing! Best I’ve ever had. My husband’s burger was also delicious. Highly recommend.,,Sep 2025
Hillboy,"Springfield, MA",USA,5,null,null,null,null,"Such an amazing restaurant with spectacular views of the old city and harbor. 

We ate here several times for breakfast, my wife said it was the best iced matcha she has ever had!

Prices are reasonable and the food is amazing. If you’re in the mood for a little snack or a full meal, the portions are spot on.

I highly recommend making reservations because it is always busy, but you can luck out a grab a table without one. The reservations for the portion in the old city go fast and are booked days in advance. 

If you like sipping coffee and people watching, book early! Well worth the visit, they have a great menu and situated in one of the most beautiful parts of the old city!",,Sep 2025
blusaphire,"Los Angeles, California",USA,5,null,null,null,null,"This place is excellent and our server Ana was amazing !! Food is fresh and delicious - pasta with truffles was amazing as was the tomato pasta . Pasta was hand made and the food was overall delicious ! And the view , of course, is fantastic !! Highly recommend !!",,Sep 2025
zack,"Somerville, Massachusetts",USA,5,null,null,null,null,We went to both Dubravka and Nautika (for breakfast and lunch) and they were both high quality and reasonably priced (not tourist traps). Marijo was our waiter at Nautika and he was awesome. We had great views from both and I would recommended them to anyone visiting Dubrovnik.,,Sep 2025
Odyssey35828243179,null,null,5,null,null,null,null,"Atmosphere and view,
And the food and drink were good.
Especially my friend Marco, my desk staff, was so pleasant and friendly.
A grateful heart, a happy feeling. ^0^",,Sep 2025
BobonLongIsland,"Smithtown, New York",USA,5,null,null,null,null,"We enjoyed a terrific meal. The food was great — tuna and sea bass. The service was excellent. Our waiter, Marko, was attentive, friendly and very knowledgeable about the menu. And the view was unbeatable!",,Sep 2025
Dee E,null,null,5,null,null,null,null,Marco and the staff was very friendly. Food was great! View was even better. Highlight recommend visiting and spending some time.,,Sep 2025
Deby M,"Upminster, United Kingdom",United Kingdom,5,null,null,null,null,Friendly staff we had been advised to arrive before 7 to get a table and we were seated within 20 minutes. Food was lovely and service was relaxed no rushing you after finishing. Highly recommend for a lovely evening meal.,,Sep 2025
helsbels2004,null,null,5,null,null,null,null,Beautiful food and view . We couldn't book but went a bit earlier to see if we could walk in and dine. We were seated a row away from the front with a lovely view of the harbour . Staff were excellent and the food was gorgeous. I had the fillet streak medium and it didn't disappoint. Worth a visit.,,Sep 2025
stephrab,"New York City, New York",USA,5,null,null,null,null,We had three different people who had been to Dubrovnik in the last 6 months tell us we had to eat here. They were right. The view is spectacular. And the service staff is extremely attentive. And there is a large range of food items and all of them were top notch. Put all of this together and it worth putting this restuarant on your “to do” list in Dubrovnik.,,Sep 2025
Liela C,null,null,5,5.0,5.0,5.0,5.0,Obren was great! Food was delicious! I ordered the truffle pasta and my husband ordered the burger. The view is beautiful,,Sep 2025
bizimar,minneapolis,minneapolis,3,3.0,2.0,3.0,2.0,I booked far in advance so I could secure a table on the waterfront. My table was on the waterfront but there was a large wedding dinner table adjacent to us; the restaurant even added a small table to serve wine to the wedding group that actually intruded on our space. And our waiter was very busy with the wedding group. Food was fine but their attention was directed to the large group rather than the two of us and that is really unacceptable.,,Jun 2025
CarmelO,"Cork, Ireland",Ireland,5,5.0,5.0,5.0,null,The vibe was set when we entered the restaurant to live piano playing. What a relaxed atmosphere but with attentive service. The pre-dinner cocktail was very good (not expensive for this standard of establishment). Steak & sea bass for main courses along with side dishes of grilled vegetables & rosemary potatoes were delicious. Happy with the menu prices for this quality.,,Sep 2025
María Eugenia,"Buenos Aires, Argentina",Argentina,1,null,null,null,null,"I was discriminated for being alone. I kindly asked for a table for one, preferably with a nice view, and was kindly told that there were no tables at the moment. There was a couple behind me, and - while I was leaving - I heard the ask if the same applied to them (this means they had no reservation) , and I saw them being received. Sad 🤕",,Sep 2025
Luiz Eduardo F,"Recife, PE",PE,5,5.0,5.0,5.0,5.0,Amazing place. Wounderful atendiment. Stephan is the best. Thanks for all. I remember forever. Luiz Eduardo e Carol Ferraz,,Sep 2025
Lindsey T,null,null,5,null,null,null,null,"Fantastic! Good food, lovely atmosphere, fabulous view and lovely service from Marko, Cocktails are fabulous, I recommend the Hugo",,Sep 2025
Antony U,"London, United Kingdom",United Kingdom,4,null,null,null,null,"Great waterfront setting (especially if you get a frontline table), good food, unfortunately let down by very slow service",,Sep 2025
TravelerWa62,"Olympia, Washington",USA,5,null,null,null,null,"The location is excellent and the view spectacular. We had a delicious meal of rib eye steak and a hamburger. We shared a bottle of wine from the area.
Our server, Maki, was superb. He was attentive, professional, knew what wine to recommend and made our dinner out a special event.",,Sep 2025
Shane H,null,null,5,null,null,null,null,"There’s a lot to praise. The restaurant is rather large and offers seating options on a raised patio off the street (Pred Dvorom) or in the back on another covered patio overlooking Old Town’s port. There’s quite the coterie of service staff, so at no point were we left unattended or in need. The food is robust, spanning multiple cuisines, and portion sizes are generous, meaning everyone will find something to enjoy and have a lot of it. My wife and I considered it one of our best meals in Croatia.",,Aug 2025
FoodKGB,"London, United Kingdom",United Kingdom,5,4.0,5.0,5.0,5.0,"Classy restaurant at the top of the main street through the heart of Dubrovnik - the people watch if you get a table on the raised terrace at the front - is unmatched.
Menu has plenty of crowd-pleasers - the truffle and mushroom pasta was superb.
Wine - like most other restaurant in this city - is pricy.
best to book, but worth turning up early or late and they'll find you a table quite quickly.
One of the best restaurants in town.",,Aug 2025
Explore12820000535,null,null,5,null,null,null,null,"Super tasty food and great service (stjepan).
This is for tourists and locals a great place, also with a wonderfull view. If you go to Dubrovnik, this is the place to be.",,Sep 2025
ilse v,null,null,5,5.0,5.0,5.0,5.0,"We arrived without a reservation, it was busy but we could first have a drink inside. Soon we could take a seat on the terrace. Great views and the food was delicious. Our waiter Obran has completed the evening.",,Sep 2025
J K,null,null,5,null,null,null,null,"We had a wonderful meal with excellent service and attention. Our waiter, Dominic, was extremely professional and efficient.",,Sep 2025
HolmesLM,"London, United Kingdom",United Kingdom,3,null,null,null,null,"Update: please note that since this review was posted I have been contacted by the restaurant so that my issues could be addressed. I have to comment that I found the interaction and resolution extremely helpful and professional and this has provided us with confidence that the restaurant is very professional in addressing issues and hopefully our experience will not happen to other customers.

Original review:
Exceptionally poor service and facilities despite good food and lovely location We arrived for a pre-booked dinner at this restaurant which had been highly recommended by friends and colleagues. We were really excited as this was to be the highlight of our culinary experience of Dubrovnik.
On arriving we were directed by the bar staff through to the restaurant. We proceeded to the waiting sign... and we waited.... and we waited....
Whilst numerous staff of varying seniority walked past us and completely ignored us.
We stopped a member of staff saying we had a reservation…we were essentially ignored and continued to wait until eventually somebody said that they would check if our table was ready.
We were approached by the hostess who asked us to wait before we were finally shown to our table.
After being provided with menus we again...sat waiting....we were not acknowledged or
approached. At this point we were about to leave. It had become evident that the service was extremely poor and was ruining our experience. As we were about to leave we were finally approached for our order and decided to remain.
The waiter thereafter provided a good level of service.

It should be acknowledged that the food was excellent, the venue was beautiful (apart from the ladies facilities that were very substandard for a high end restaurant and more akin to a holiday camp) and that we had a great position near to the
sed.
The low score is based on the poor service, which ruined our experience prompting us to leave as soon as possible. Noting that we have had an amazing holiday in Dubrovnik and experienced fantastic food, wine and service throughout our time here. This restaurant has unfortunately been the exception.",,Aug 2025
Jana S,null,null,5,null,null,null,null,"An incredible experience, one that we will remember for a lot of years to come. We will be highly recommending this restaurant to our friends and family. The food and atmosphere was incredible, but the service was a highlight. Waiter Stephan and colleagues were all outstanding and provided service second to none.",,Aug 2025
